Days_Corn,Days_Cotton,Corn_NDVI_2013,Cotton_NDVI_2013,Corn_MSAVI_2013,Cotton_MSAVI_2013,Corn_EVI_2013,Cotton_EVI_2013,Corn_NDVI_2014,Cotton_NDVI_2014,Corn_MSAVI_2014,Cotton_MSAVI_2014,Corn_EVI_2014,Cotton_EVI_2014
195,173,0.220787108,0.266733695,0.138773309,0.17167452,0.136321414,0.168226725,0.267667793,0.304885678,0.169186643,0.197475529,0.16827566,0.195092817
196,174,0.236954652,0.275387555,0.147700112,0.178417154,0.145747155,0.175212411,0.283175595,0.314678035,0.179114995,0.203763535,0.178832285,0.201545803
197,175,0.253122196,0.284041416,0.156626915,0.185159788,0.155172896,0.182198097,0.298683396,0.324470391,0.189043347,0.210051542,0.189388911,0.207998788
198,176,0.269289739,0.292695276,0.165553719,0.191902421,0.164598637,0.189183782,0.314191198,0.33877639,0.198971699,0.221653024,0.199945536,0.220211742
199,177,0.285457283,0.301349137,0.174480522,0.198645055,0.174024378,0.196169468,0.334602715,0.353082389,0.211018767,0.233254505,0.212662118,0.232424695
200,178,0.301624827,0.310002998,0.183407325,0.205387689,0.183450119,0.203155154,0.355014232,0.367388387,0.223065834,0.244855986,0.2253787,0.244637649
201,179,0.317792371,0.318656858,0.192334128,0.212130323,0.19287586,0.210140839,0.375425749,0.381694386,0.235112902,0.256457468,0.238095281,0.256850603
202,180,0.333959914,0.333142621,0.201260931,0.222170834,0.202301601,0.220565999,0.395837266,0.396000385,0.247159969,0.268058949,0.250811863,0.269063556
203,181,0.350127458,0.347628383,0.210187735,0.232211344,0.211727342,0.230991159,0.416248783,0.410306384,0.259207037,0.27966043,0.263528445,0.28127651
204,182,0.366295002,0.362114146,0.219114538,0.242251854,0.221153083,0.24141632,0.4366603,0.424612382,0.271254104,0.291261912,0.276245027,0.293489463
205,183,0.385783077,0.376599908,0.232272216,0.252292365,0.235038304,0.25184148,0.457071817,0.443134082,0.283301172,0.305995616,0.288961608,0.308705277
206,184,0.405271152,0.391085671,0.245429895,0.262332875,0.248923525,0.26226664,0.477483334,0.461655783,0.295348239,0.320729321,0.30167819,0.32392109
207,185,0.424759227,0.405571433,0.258587574,0.272373386,0.262808745,0.2726918,0.497894851,0.480177483,0.307395307,0.335463025,0.314394772,0.339136903
208,186,0.444247302,0.420057196,0.271745252,0.282413896,0.276693966,0.28311696,0.518216623,0.498699183,0.323662851,0.35019673,0.33093959,0.354352717
209,187,0.463735378,0.434542958,0.284902931,0.292454407,0.290579187,0.29354212,0.538538396,0.517220883,0.339930396,0.364930434,0.347484409,0.36956853
210,188,0.483223453,0.449028721,0.298060609,0.302494917,0.304464407,0.30396728,0.558860168,0.535742583,0.35619794,0.379664139,0.364029228,0.384784343
211,189,0.502711528,0.46630008,0.311218288,0.317923078,0.318349628,0.32032159,0.579181941,0.554264283,0.372465485,0.394397844,0.380574046,0.400000157
212,190,0.522585505,0.483571439,0.326300207,0.333351238,0.333398316,0.3366759,0.599503714,0.572785983,0.388733029,0.409131548,0.397118865,0.41521597
213,191,0.542459482,0.500842798,0.341382127,0.348779399,0.348447003,0.35303021,0.619825486,0.591307684,0.405000574,0.423865253,0.413663683,0.430431783
214,192,0.562333459,0.518114157,0.356464046,0.364207559,0.363495691,0.369384521,0.640147259,0.607185016,0.421268118,0.440478048,0.430208502,0.448179509
215,193,0.582207436,0.535385516,0.371545966,0.37963572,0.378544379,0.385738831,0.656189729,0.623062348,0.436422894,0.457090843,0.444972953,0.465927234
216,194,0.602081413,0.552656874,0.386627885,0.39506388,0.393593067,0.402093141,0.6722322,0.63893968,0.45157767,0.473703638,0.459737404,0.48367496
217,195,0.62195539,0.569928233,0.401709804,0.410492041,0.408641754,0.418447451,0.68827467,0.654817012,0.466732446,0.490316432,0.474501855,0.501422685
218,196,0.641829367,0.586471107,0.416791724,0.425774444,0.423690442,0.433893894,0.70431714,0.670694344,0.481887222,0.506929227,0.489266306,0.51917041
219,197,0.661703344,0.60301398,0.431873643,0.441056847,0.43873913,0.449340336,0.720359611,0.686571676,0.497041998,0.523542022,0.504030757,0.536918136
220,198,0.681577321,0.619556854,0.446955563,0.456339249,0.453787818,0.464786779,0.736402081,0.702449008,0.512196774,0.540154817,0.518795208,0.554665861
221,199,0.695332419,0.636099727,0.461143686,0.471621652,0.46790466,0.480233221,0.752444552,0.713856385,0.52735155,0.553020203,0.53355966,0.567603703
222,200,0.709087518,0.652642601,0.475331809,0.486904055,0.482021502,0.495679664,0.768487022,0.725263762,0.542506326,0.565885589,0.548324111,0.580541545
223,201,0.722842617,0.669185474,0.489519932,0.502186458,0.496138344,0.511126106,0.784529492,0.736671139,0.557661102,0.578750974,0.563088562,0.593479386
224,202,0.736597715,0.685728347,0.503708055,0.517468861,0.510255186,0.526572549,0.788689479,0.748078516,0.564735718,0.59161636,0.570987616,0.606417228
225,203,0.750352814,0.702271221,0.517896178,0.532751263,0.524372028,0.542018991,0.792849466,0.759485893,0.571810333,0.604481745,0.57888667,0.61935507
226,204,0.764107913,0.718814094,0.532084301,0.548033666,0.53848887,0.557465434,0.797009453,0.77089327,0.578884948,0.617347131,0.586785724,0.632292911
227,205,0.777863011,0.728174887,0.546272424,0.559709746,0.552605712,0.569611043,0.801169441,0.782300647,0.585959563,0.630212517,0.594684778,0.645230753
228,206,0.782324453,0.73753568,0.549405673,0.571385827,0.55586371,0.581756653,0.805329428,0.793708024,0.593034178,0.643077902,0.602583832,0.658168595
