Days,Corn_NDVI_2013,Cotton_NDVI_2013,Soybean_NDVI_2013,Corn_NDVI_2014,Cotton_NDVI_2014,Soybean_NDVI_2014,Corn_MSAVI_2013,Cotton_MSAVI_2013,Soybean_MSAVI_2013,Corn_MSAVI_2014,Cotton_MSAVI_2014,Soybean_MSAVI_2014
116,0.621638094,0.182464797,0.710823835,0.548149217,0.200251364,0.665377411,0.763499568,0.307710963,0.820557901,0.702741438,0.330964827,0.763315585
117,0.639922522,0.183392676,0.690518099,0.554910961,0.201925037,0.634771402,0.776259379,0.308948341,0.804358381,0.707754971,0.332662969,0.734996774
118,0.65820695,0.184320554,0.670212364,0.561672706,0.20359871,0.604165392,0.78901919,0.310185719,0.788158862,0.712768503,0.334361111,0.706677963
119,0.676491378,0.185248433,0.649906628,0.56843445,0.205272383,0.573559383,0.801779001,0.311423098,0.771959343,0.717782035,0.336059253,0.678359152
120,0.694775806,0.186176311,0.629600893,0.575196195,0.206946055,0.542953374,0.814538812,0.312660476,0.755759823,0.722795568,0.337757394,0.650040342
121,0.713060234,0.18710419,0.609295158,0.58195794,0.208619728,0.512347364,0.827298623,0.313897854,0.739560304,0.7278091,0.339455536,0.621721531
122,0.731344662,0.188032068,0.588989422,0.588719684,0.210293401,0.481741355,0.840058435,0.315135232,0.723360784,0.732822633,0.341153678,0.59340272
123,0.74962909,0.188959947,0.568683687,0.595481429,0.211967074,0.451135346,0.852818246,0.316372611,0.707161265,0.737836165,0.34285182,0.565083909
124,0.767913518,0.189887826,0.548377951,0.602243173,0.213640747,0.420529337,0.865578057,0.317609989,0.690961746,0.742849697,0.344549962,0.536765099
125,0.786197946,0.190815704,0.528072216,0.609004918,0.21531442,0.389923327,0.878337868,0.318847367,0.674762226,0.74786323,0.346248104,0.508446288
126,0.791993158,0.192107061,0.506580344,0.615766662,0.216988092,0.359317318,0.882168844,0.320807899,0.654228891,0.752876762,0.347946246,0.480127477
127,0.797788369,0.193398418,0.485088472,0.622528407,0.218661765,0.328711309,0.88599982,0.322768431,0.633695555,0.757890295,0.349644388,0.451808666
128,0.803583581,0.194689775,0.4635966,0.629290152,0.220335438,0.298105299,0.889830796,0.324728963,0.61316222,0.762903827,0.35134253,0.423489855
129,0.809378792,0.195981132,0.442104729,0.646677183,0.222643051,0.293461336,0.893661773,0.326689495,0.592628884,0.775005968,0.35441211,0.420521106
130,0.815174004,0.197272489,0.420612857,0.664064214,0.224950663,0.288817373,0.897492749,0.328650027,0.572095549,0.787108108,0.357481691,0.417552358
131,0.820969215,0.198563845,0.399120985,0.681451245,0.227258275,0.284173409,0.901323725,0.330610559,0.551562213,0.799210249,0.360551272,0.414583609
132,0.826764427,0.199855202,0.377629113,0.698838277,0.229565887,0.279529446,0.905154701,0.33257109,0.531028878,0.81131239,0.363620853,0.41161486
133,0.829132075,0.204636409,0.362968222,0.716225308,0.2318735,0.274885483,0.906485635,0.338782094,0.515467733,0.823414531,0.366690434,0.408646111
134,0.831499724,0.209417615,0.348307332,0.733612339,0.234181112,0.270241519,0.907816568,0.344993098,0.499906588,0.835516671,0.369760015,0.405677362
135,0.833867372,0.214198821,0.333646441,0.750999371,0.236488724,0.265597556,0.909147502,0.351204102,0.484345443,0.847618812,0.372829596,0.402708613
136,0.836235021,0.218980028,0.31898555,0.76337544,0.245408489,0.26278536,0.910478436,0.357415106,0.468784298,0.856096304,0.383610227,0.400150554
137,0.838602669,0.223761234,0.304324659,0.775751509,0.254328254,0.259973164,0.911809369,0.36362611,0.453223153,0.864573796,0.394390858,0.397592494
138,0.840970318,0.228542441,0.289663769,0.788127578,0.263248019,0.257160969,0.913140303,0.369837113,0.437662008,0.873051288,0.405171489,0.395034434
139,0.843337966,0.233323647,0.275002878,0.800503647,0.272167784,0.254348773,0.914471236,0.376048117,0.422100863,0.88152878,0.41595212,0.392476374
140,0.845705614,0.238104853,0.260341987,0.812879717,0.281087549,0.251536577,0.91580217,0.382259121,0.406539718,0.890006272,0.426732751,0.389918315
141,0.848073263,0.24288606,0.245681097,0.825255786,0.290007314,0.248724381,0.917133103,0.388470125,0.390978573,0.898483764,0.437513382,0.387360255
142,0.84939917,0.250979204,0.238822999,0.837631855,0.298927079,0.245912185,0.917966991,0.39831599,0.382319339,0.906961256,0.448294013,0.384802195
143,0.850725076,0.259072348,0.231964902,0.850007924,0.307846844,0.24309999,0.918800879,0.408161855,0.373660105,0.915438748,0.459074644,0.382244135
144,0.852050983,0.267165493,0.225106804,0.862383993,0.316766609,0.240287794,0.919634766,0.418007721,0.365000871,0.92391624,0.469855275,0.379686076
145,0.85337689,0.275258637,0.218248707,0.864952192,0.332116983,0.233986826,0.920468654,0.427853586,0.356341636,0.925823647,0.487448273,0.372351195
146,0.854702796,0.283351782,0.211390609,0.867520391,0.347467357,0.227685858,0.921302542,0.437699451,0.347682402,0.927731055,0.505041271,0.365016314
147,0.856028703,0.291444926,0.204532512,0.87008859,0.362817731,0.22138489,0.92213643,0.447545317,0.339023168,0.929638463,0.522634269,0.357681433
148,0.85735461,0.29953807,0.197674414,0.872656789,0.378168104,0.215083922,0.922970317,0.457391182,0.330363934,0.93154587,0.540227267,0.350346552
149,0.857277523,0.312619609,0.195925707,0.875224988,0.393518478,0.208782954,0.922948524,0.471109805,0.327760274,0.933453278,0.557820265,0.343011671
150,0.857200436,0.325701147,0.194177,0.877793186,0.408868852,0.202481986,0.92292673,0.484828428,0.325156614,0.935360686,0.575413263,0.33567679
151,0.85712335,0.338782685,0.192428293,0.880361385,0.424219225,0.196181018,0.922904937,0.498547051,0.322552955,0.937268093,0.593006261,0.328341909
152,0.857046263,0.351864223,0.190679586,0.878274734,0.440823905,0.19421331,0.922883143,0.512265674,0.319949295,0.935961093,0.607488276,0.325379963
153,0.856969176,0.364945761,0.188930879,0.876188083,0.457428584,0.192245601,0.92286135,0.525984297,0.317345635,0.934654092,0.621970292,0.322418017
154,0.856892089,0.378027299,0.187182172,0.874101432,0.474033264,0.190277892,0.922839557,0.539702921,0.314741976,0.933347092,0.636452308,0.319456071
155,0.856815003,0.391108837,0.185433465,0.872014781,0.490637943,0.188310184,0.922817763,0.553421544,0.312138316,0.932040092,0.650934324,0.316494126
156,0.856737916,0.404190376,0.183684758,0.869928129,0.507242623,0.186342475,0.92279597,0.567140167,0.309534656,0.930733091,0.66541634,0.31353218
157,0.856660829,0.417271914,0.181936051,0.867841478,0.523847302,0.184374767,0.922774176,0.58085879,0.306930996,0.929426091,0.679898356,0.310570234
158,0.853534094,0.432264025,0.183565992,0.865754827,0.540451982,0.182407058,0.920906714,0.594690141,0.309106684,0.92811909,0.694380372,0.307608289
159,0.850407359,0.447256137,0.185195932,0.863668176,0.557056661,0.18043935,0.919039252,0.608521493,0.311282371,0.92681209,0.708862388,0.304646343
160,0.847280623,0.462248249,0.186825873,0.861581525,0.573661341,0.178471641,0.91717179,0.622352844,0.313458058,0.92550509,0.723344404,0.301684397
161,0.844153888,0.47724036,0.188455813,0.859717408,0.589399296,0.17899969,0.915304328,0.636184195,0.315633745,0.924442392,0.735480923,0.302358577
162,0.841027153,0.492232472,0.190085754,0.857853291,0.605137251,0.179527739,0.913436866,0.650015547,0.317809433,0.923379695,0.747617443,0.303032757
163,0.837900418,0.507224584,0.191715695,0.855989173,0.620875207,0.180055787,0.911569404,0.663846898,0.31998512,0.922316997,0.759753962,0.303706937
164,0.834773682,0.522216695,0.193345635,0.854125056,0.636613162,0.180583836,0.909701942,0.677678249,0.322160807,0.9212543,0.771890481,0.304381117
165,0.831574182,0.538096717,0.201567296,0.852260939,0.652351118,0.181111884,0.907758221,0.690590455,0.331780126,0.920191602,0.784027001,0.305055296
166,0.828374682,0.553976738,0.209788956,0.850396822,0.668089073,0.181639933,0.905814501,0.703502661,0.341399445,0.919128905,0.79616352,0.305729476
167,0.825175181,0.56985676,0.218010616,0.848532705,0.683827029,0.182167982,0.90387078,0.716414867,0.351018764,0.918066208,0.808300039,0.306403656
168,0.821975681,0.585736781,0.226232276,0.846095202,0.694978303,0.188397723,0.901927059,0.729327073,0.360638083,0.916599038,0.816023178,0.314171998
169,0.81877618,0.601616802,0.234453936,0.843657698,0.706129577,0.194627463,0.899983338,0.74223928,0.370257402,0.915131868,0.823746316,0.32194034
170,0.81557668,0.617496824,0.242675596,0.841220195,0.717280851,0.200857204,0.898039618,0.755151486,0.379876721,0.913664699,0.831469455,0.329708682
171,0.812377179,0.633376845,0.250897257,0.838782692,0.728432125,0.207086945,0.896095897,0.768063692,0.38949604,0.912197529,0.839192593,0.337477025
172,0.809177679,0.649256866,0.259118917,0.836345188,0.739583399,0.213316686,0.894152176,0.780975898,0.399115359,0.91073036,0.846915731,0.345245367
173,0.805978179,0.665136888,0.267340577,0.833907685,0.750734673,0.219546427,0.892208455,0.793888104,0.408734678,0.90926319,0.85463887,0.353013709
174,0.803266419,0.678462166,0.280709932,0.831470181,0.761885947,0.225776167,0.890609062,0.803196146,0.422434734,0.907796021,0.862362008,0.360782051
175,0.800554659,0.691787445,0.294079287,0.829032678,0.773037221,0.232005908,0.889009669,0.812504188,0.43613479,0.906328851,0.870085147,0.368550393
176,0.797842899,0.705112723,0.307448643,0.826595175,0.784188495,0.238235649,0.887410277,0.82181223,0.449834845,0.904861681,0.877808285,0.376318735
177,0.795131139,0.718438002,0.320817998,0.822093238,0.789384783,0.248677566,0.885810884,0.831120272,0.463534901,0.902087178,0.881013577,0.388261654
178,0.792419379,0.731763281,0.334187353,0.8175913,0.794581071,0.259119484,0.884211491,0.840428314,0.477234957,0.899312675,0.884218869,0.400204574
179,0.78970762,0.745088559,0.347556708,0.813089363,0.799777359,0.269561401,0.882612098,0.849736356,0.490935013,0.896538172,0.887424161,0.412147493
180,0.78699586,0.758413838,0.360926064,0.808587426,0.804973647,0.280003319,0.881012705,0.859044398,0.504635069,0.893763669,0.890629452,0.424090413
181,0.783122017,0.764597838,0.373531475,0.804085489,0.810169935,0.290445236,0.878482147,0.86320663,0.51675098,0.890989166,0.893834744,0.436033332
182,0.779248174,0.770781837,0.386136886,0.799583552,0.815366223,0.300887153,0.875951588,0.867368862,0.52886689,0.888214663,0.897040036,0.447976252
183,0.775374331,0.776965837,0.398742298,0.795081615,0.820562511,0.311329071,0.87342103,0.871531094,0.540982801,0.88544016,0.900245328,0.459919171
184,0.771500488,0.783149837,0.411347709,0.789669587,0.82373644,0.326291805,0.870890471,0.875693326,0.553098712,0.882005819,0.9021938,0.475157834
185,0.767626645,0.789333837,0.423953121,0.78425756,0.826910369,0.34125454,0.868359913,0.879855558,0.565214623,0.878571478,0.904142272,0.490396498
186,0.763752803,0.795517837,0.436558532,0.778845533,0.830084297,0.356217275,0.865829354,0.88401779,0.577330533,0.875137138,0.906090745,0.505635161
